AvgCaptionLen,stat_StdPhotoDis,AvgPhotoDis,MeanPhotoDisbyCap,CaptionPercentage,PredictedStd,TopWordPopularity,Zscore,Entropy,diff_AvgPhotoDis,diff_TopWordPopularity,diff_Entropy,tfidf1,tfidf2,tfidf3,NumberOfHashtages1,NumberOfHashtages2,NumberOfHashtages3,NumberOfPhotsoContaingTopWord1,NumberOfPhotsoContaingTopWord2,NumberOfPhotsoContaingTopWord3,Top10PhotoLocationNameFreq,label
49.545455,0.056393,0.137812,7.750124,0.733333,1.039513,0.242424,5.180848,2.471252,0.005107,19.229768,0.023698,1.134099,0.960369,0.934351,3,7,7,5,2,2,0.9,1
51.473684,0.090268,0.34232,7.403987,0.934426,1.213592,0.116959,5.047111,2.668947,-0.0001,18.574045,0.348692,0.82822,0.580128,0.189394,1.153846,1.153846,2.25,13,13,4,1,1
60.333333,0.067238,0.350846,7.579309,0.923077,1.778303,0.194444,3.613902,2.958543,0.108078,21.935367,0.347855,0.924066,0.856488,0.519795,2,0,3,3,2,2,0.3,1
26.857143,0.099404,0.219679,5.638722,0.933333,2.856029,0.261905,3.880881,2.729574,-0.100578,21.918232,0.266988,3.502984,0.445539,0.432516,1,0,0,9,1,1,0.5,1
68.257143,0.084875,0.203606,7.212976,0.972222,1.363877,0.2,3.967078,2.405804,-0.087809,18.629133,0.156526,1.089817,0.890454,0.754576,3,3.111111,4,9,9,6,0.1,1
47.347826,0.078074,0.319628,7.929834,0.821429,1.8944,0.101449,4.531401,2.842439,0.011058,20.115921,0.044451,0.441252,0.333882,0.282771,2,1.5,1.5,3,2,2,0.2,1
49,0.072485,0.304374,8.191619,0.666667,3.505678,0.111111,3.208304,3.013016,-0.036327,19.543024,0.232636,0.616044,0.371908,0.34653,2,3.5,3.5,2,2,2,0.1,1
44.12844,0.051509,0.346976,7.650803,0.893443,2.390123,0.04893,5.4252,2.908372,0.023313,15.771527,0.165587,0.171675,0.143337,0.128503,1.833333,0.666667,1.166667,6,6,6,1.2,1
33.6,0.086229,0.281386,7.92643,0.833333,1.839142,0.177778,6.980782,2.749741,0.064916,17.054676,0.220291,0.545797,0.526409,0.415836,0.666667,0.666667,1,3,3,2,0.7,1
45,0.025713,0.037037,7.054226,1,0.838418,0.222222,6.841521,2.473851,-0.177111,21.321162,0.120551,1.345605,1.345605,0.902843,1.333333,0,0,3,2,2,0.444444,1
